,Title,Poem,Poem_for_Human
10,a lion’s eye of the tiger,the eye of the tiger is the beholder of lion’s din the eye of the tiger is the beholder of lion’s beauty beauty is the beholder of lion’s beauty beauty is the beholder of lion’s din lion’s din is lion’s beauty the eye of the tiger is the beholder of lion lion’s din is lion’s eye of the tiger lion’s din is lion’s sight din is din of lion din is din of sight din is din of beauty sight of beauty is sight of lion sight of beauty is sight of din lion’s sight is lion’s din lion’s sight is lion’s eye of the tiger beauty is beauty’s din beauty is beauty’s lion of din beauty is sight of lion my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about beauty is sight of lion do not add capitalization’s on my writing on feb 22 2022 10 56 am pst godlucifer beauty lion rhyme,"the eye of the tiger is,
the beholder of a lion’s din
the eye of the tiger is,
the beholder of a lion’s beauty
beauty is the beholder of a lion’s beauty
beauty is the beholder of a lion’s din
a lion’s din is a lion’s beauty

the eye of the tiger is,
the beholder of a lion
a lion’s din is a lion’s eye of the tiger
a lion’s din is a lion’s sight
a din is a din of a lion
a din is a din of a sight
a din is a din of beauty

a sight of beauty is a sight of a lion
a sight of beauty is a sight of a din
a lion’s sight is a lion’s din
a lion’s sight is a lion’s eye of the tiger
beauty is beauty’s din
beauty is beauty’s lion of a din
beauty is a sight of a lion
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about beauty is a sight of a lion. i don’t add capitalization’s on my writing.  ©  on Feb 22 2022 10:56 AM PST, Godlucifer    beauty-lion  • rhyme    "
11,the u.s. government pays its do,crime is true government official crime is true government identity crime is identity of crime crime is identity of true government official true identity is true crime true identity is true official crime pays its do crime pays its do of identity crime is do crime of identity crime is do crime of an official crime is do crime of government official do government is do government official official is do government official official is do government identity true government is true identity the government is true government identity is identity of true identity identity is identity of true government crime is an identity of the government crime is an identity of an identity true identity is true government my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about the official of the you government true identity do not add capitalization’s on my writing on feb 09 2022 10 45 am pst godlucifer government crime identity rhyme,"a crime is a true government official
a crime is a true government identity
a crime is a identity of a crime
a crime is a identity of a true government official
a true identity is a true crime
a true identity is a true official
crime pays its do

crime pays its do of identity
crime is a do crime of identity
crime is a do crime of an official
crime is a do crime of a government official
a do government is a do government official
official is a do government official
official is a do government identity

a true government is a true identity
the government is a true government
identity is identity of a true identity
identity is identity of a true government
crime is an identity of the government
crime is an identity of an identity
a true identity is a true government
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about the official of the u.s. government true identity. i don’t add capitalization’s on my writing.  ©  on Feb 09 2022 10:45 AM PST, Godlucifer    government  • crime  • identity  • rhyme    "
12,a gem unlock a ruby,speed is lock of speed the universe is lock of speed time is lock of speed time is lock of universe time is time lock of speed the universe unlock gem of speed the universe unlock gem of gem ruby unlock gem of ruby ruby unlock gem of speed ruby unlock gem of universe lock is unlock ruby lock is unlock gem lock ruby is unlock ruby lock ruby is unlock gem universe is unlock universe universe is unlock ruby universe is unlock gem time is time’s gem time is time’s gem of ruby time is time’s unlock gem time is time’s unlock speed my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about time is time’s gem and ruby do not add capitalization’s on my writing on jan 21 2022 11 44 am pst godlucifer universe time gem ruby rhyme,"speed is a lock of speed
the universe is a lock of speed
time is a lock of speed
time is a lock of a universe
time is time lock of speed
the universe unlock a gem of speed
the universe unlock a gem of a gem

a ruby unlock a gem of ruby
a ruby unlock a gem of speed
a ruby unlock a gem of a universe
lock is a unlock ruby
lock is a unlock gem
a lock ruby is a unlock ruby
a lock ruby is a unlock gem

a universe is a unlock universe
a universe is a unlock ruby
a universe is a unlock gem
time is time’s gem
time is time’s gem of ruby
time is time’s unlock gem
time is time’s unlock speed
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about time is time’s gem and ruby. i don’t add capitalization’s on my writing.  ©  on Jan 21 2022 11:44 AM PST, Godlucifer    universe  • time  • gem  • ruby  • rhyme    "
13,the power of authority,hail to power of authority hail to magic of magic authority magic hail magic to its power of authority magic is literature of magic magic is literature of authority magic hail magic to its literature the power of authority is the literature of magic literature is literature of magic authority rise to hail of authority rise is power of authority rise to literature of authority literature rise to literature literature rise to power of authority power is sight of power power is sight of authority power is sight of literature power of authority is sight of authority sight is sight of authority sight is sight of literature magic rise magic to its authority magic rise magic to its literature my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about sight is sight of authority do not add capitalization’s on my writing on jan 06 2022 10 50 am pst godlucifer authority literature power magic rhyme,"hail to a power of authority
hail to a magic of a magic authority
magic hail magic to its power of authority
magic is a literature of magic
magic is a literature of authority
magic hail magic to its literature
the power of authority is the literature of magic

literature is literature of a magic authority
rise to a hail of authority
rise is a power of authority
rise to a literature of authority
literature rise to literature
literature rise to a power of authority
power is a sight of power

power is a sight of authority
power is a sight of literature
a power of authority is a sight of authority
a sight is a sight of authority
a sight is a sight of literature
magic rise magic to its authority
magic rise magic to its literature
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about a sight is a sight of authority. i don’t add capitalization’s on my writing.  ©  on Jan 06 2022 10:50 AM PST, Godlucifer    authority  • literature  • power  • magic  • rhyme    "
14,higher power,higher being is higher power higher being is higher source higher being is higher source of galaxy higher being is source of higher power galaxy is source of higher power galaxy is source of higher source universe is higher source of higher being source of galaxy is source of universe time is strength of universe universe is strength of universe universe is strength of higher power universe is strength of higher source time is strength of time time is strength of higher being time is source of strength galaxy is source of galaxy galaxy is source of source time is strength of strength time is time’s strength higher being is strength of higher source higher source is strength of higher power my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about the strength of higher source and higher power do not add capitalization’s on my writing on dec 14 2021 11 07 am pst godlucifer higher power higher source universe galaxy,"a higher being is a higher power
a higher being is a higher source
a higher being is a higher source of a galaxy
a higher being is a source of a higher power
a galaxy is a source of a higher power
a galaxy is a source of a higher source
a universe is a higher source of a higher being

a source of a galaxy is a source of a universe
time is a strength of a universe
a universe is a strength of a universe
a universe is a strength of a higher power
a universe is a strength of a higher source
time is a strength of time
time is a strength of a higher being

time is a source of strength
a galaxy is a source of a galaxy
a galaxy is a source of a source
time is a strength of a strength
time is time’s strength
a higher being is a strength of a higher source
a higher source is a strength of a higher power
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about the strength of a higher source and higher power. i don’t add capitalization’s on my writing.  ©  on Dec 14 2021 11:07 AM PST, Godlucifer    higher-power  • higher-source  • universe  • galaxy    "
15,all pointers all wisdom ,all pointers is all wisdom all pointers is all wise wise of wisdom all wise is all wise of wisdom all wise is all wise of pointers pointers point to wisdom pointers point to all wise wisdom knowledge is point of wisdom knowledge is point of pointers knowledge is all wise wisdom knowledge is knowledge all pointers surface is surface of all pointers surface is surface of knowledge surface is all wise surface all wise surface is all wise wisdom wise surface is wise point of surface wise is wise tale of pointers tale is wise tale of pointers tale is wise tale of tale point is wise tale point is wise tale of point wise tale is wise tale my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about wise tale is wise point of wisdom the meaning of the word pointers is for instance trying to make point or the advice of person trying to give their pointers do not add capitalization’s on my writing on nov 30 2021 10 47 am pst godlucifer wisdom knowledge wise rhyme,"all pointers is all wisdom
all pointers is all wise, wise of wisdom
all wise is all wise of wisdom
all wise is all wise of pointers
pointers point to wisdom
pointers point to a all wise wisdom
knowledge is a point of wisdom

knowledge is a point of pointers
knowledge is a all wise wisdom
knowledge is knowledge all pointers
a surface is a surface of all pointers
a surface is a surface of knowledge
a surface is a all wise surface
a all wise surface is a all wise wisdom

a wise surface is a wise point of surface
wise is a wise tale of pointers
a tale is a wise tale of pointers
a tale is a wise tale of a tale
a point is a wise tale
a point is a wise tale of a point
a wise tale is a wise tale

my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about a wise tale is a wise point of wisdom. the meaning of the word pointers is for instance trying to make a point or the advice of a person trying to give their pointers. i don’t add capitalization’s on my writing.  ©  on Nov 30 2021 10:47 AM PST, Godlucifer    wisdom  • knowledge  • wise  • rhyme    "
16,humankind loyalty ,humankind is loyal to mankind humankind is humankind loyalty loyal is loyalty to mankind loyalty is honor of loyalty loyalty is honor of mankind to honor loyalty is to honor mankind respect is in honor of mankind respect is in honor of respect mankind respect is humankind respect mankind respect is humankind honor mankind respect is humankind loyalty glory is glory of honor glory is glory of humankind humankind is glory of humankind mankind glory is humankind glory mankind is mankind glory defeat is defeat of humankind defeat is defeat of glory glory defeat glory glory honor the defeat of glory honor honor the defeat of honor my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about the satisfaction of glory and respect do not add capitalization’s on my writing on nov 10 2021 10 31 am pst godlucifer humankind mankind loyalty respect rhyme,"humankind is loyal to mankind
humankind is humankind loyalty
loyal is loyalty to mankind
loyalty is a honor of loyalty
loyalty is a honor of mankind
to honor loyalty is to honor mankind
respect is in honor of mankind

respect is in honor of respect
mankind respect is humankind respect
mankind respect is humankind honor
mankind respect is humankind loyalty
glory is glory of honor
glory is glory of humankind
humankind is glory of humankind

mankind glory is humankind glory
mankind is mankind glory
defeat is defeat of humankind
defeat is defeat of glory
glory defeat glory
glory honor the defeat of glory
honor, honor the defeat of honor
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about the satisfaction of glory and respect. i don’t add capitalization’s on my writing.  ©  on Nov 10 2021 10:31 AM PST, Godlucifer    humankind  • mankind  • loyalty  • respect  • rhyme    "
17,superhuman ability ,the power is the superhuman ability the power is the superhuman sense of ability human sense is human ability human sense is human super sense super sense is sense of power super sense is sense of ability super sense is superhuman sense knowledge is super sense of skill knowledge is super sense of human sense knowledge is super sense of super sense power is sense of power power is sense of skill power is sense of knowledge skill power is skill sense of skill skill power is skill sense of power skill is sense of power skill is sense of human ability skill is sense of knowledge skill is sense of skill my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about sense of power is sense of skill do not add capitalization’s on my writing on oct 27 2021 11 38 am pst godlucifer human sense power rhyme,"the power is the
superhuman ability
the power is the superhuman,
sense of ability
human sense is human ability
human sense is human super sense
super sense is a sense of power

super sense is a sense of ability
super sense is superhuman sense
knowledge is a super sense of skill
knowledge is a super sense of human sense
knowledge is a super sense of a super sense
power is a sense of power
power is a sense of skill

power is a sense of knowledge
a skill power is a skill sense of skill
a skill power is a skill sense of power
skill is a sense of power
skill is a sense of human ability
skill is a sense of knowledge
skill is a sense of skill
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about a sense of power is a sense of skill. i don’t add capitalization’s on my writing. 

 ©  on Oct 27 2021 11:38 AM PST, Godlucifer    human  • sense  • power  • rhyme    "
18,a king is victoriously a king,quest is kingdom quest is king’s kingdom kingdom conquer kingdom kingdom conquer quest of kingdom victory is kingdom’s victory victory conquer victory conquer conquer king’s victory victory conquer victory to its kingdom victory is victorious of victory victory is victorious of king quest is victorious of quest quest is victorious of victory victorious is victorious of victory to conquer is to conquer victoriously to conquer is to conquer quest victoriously quest is victoriously quest quest is victoriously victory victoriously is victoriously victory king is victoriously king king is to conquer victoriously conquer is conquering victoriously my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc this poem is about time is on king’s side victoriously do not add capitalization’s on my writing on oct 14 2021 11 09 am pst godlucifer king victory conquer rhyme,"a quest is a kingdom
a quest is a king’s kingdom
a kingdom conquer a kingdom
a kingdom conquer a quest of kingdom
victory is a kingdom’s victory
victory conquer victory
conquer, conquer a king’s victory

victory conquer victory to its kingdom
victory is victorious of a victory
victory is victorious of a king
a quest is victorious of a quest
a quest is victorious of a victory
victorious is victorious of a victory
to conquer is to conquer victoriously

to conquer is to conquer a quest victoriously
a quest is victoriously a quest
a quest is victoriously a victory
victoriously is victoriously a victory
a king is victoriously a king
a king is to conquer victoriously
conquer is conquering victoriously
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... this poem is about time is on a king’s side victoriously. i don’t add capitalization’s on my writing.  ©  on Oct 14 2021 11:09 AM PST, Godlucifer    king  • victory  • conquer  • rhyme    "
19,man or machine,man or machine is world of science man or machine is world of madness machine is mechanic science machine is mechanic madness mechanic is mechanic of man or machine science is mechanic of man or machine science is mechanic of science vision is visioning man vision is visioning machine vision is visioning mechanic world vision is mechanic world vision is mechanic science man or machine science is vision of man galaxy is vision of galaxy galaxy is vision of man or machine galaxy is vision of mechanic world science is galaxy of mechanic world science is mechanic world man or machine science is mechanic world science my writing is called philosophical writing only uses middle ages words words from the renaissance for instance words liked gracious extravaganza etc the meaning of the word “mechanic is for instance math is mechanic and problem this poem is about mechanic world is mechanic science do not add capitalization’s on my writing on sep 24 2021 10 17 am pst godlucifer man machine science mechanic,"man or machine is,
a world of science
man or machine is,
a world of madness
a machine is a mechanic science
a machine is a mechanic madness
mechanic is mechanic of a man or machine

science is a mechanic of man or machine
science is a mechanic of science
vision is visioning man
vision is visioning a machine
vision is visioning a mechanic world
a vision is a mechanic world
a vision is a mechanic science

man or machine, science is a vision of a man
a galaxy is a vision of a galaxy
a galaxy is a vision of man or machine
a galaxy is a vision of a mechanic world
science is a galaxy of a mechanic world
science is a mechanic world man or machine
science is a mechanic world science
my writing is called philosophical writing. i only uses middle ages words,words from the renaissance for instance words liked gracious,extravaganza,etc... the meaning of the word “mechanic “ is for instance math is a mechanic and problem. this poem is about a mechanic world is a mechanic science. i don’t add capitalization’s on my writing.  ©  on Sep 24 2021 10:17 AM PST, Godlucifer    man  • machine  • science  • mechanic    "
20,The Price,you reach out the hand is ignored you reach out the hand is slapped you reach out the hand is spit upon you reach out the hand is scratched you reach out the hand is bitten and bloodied you reach out the hand is hit with crowbar you reach out the hand is broken you reach out the fingers are shredded you reach out the fingers are dislocated you reach out the hand heals you reach out the hand is cut off blood spurting from the stump you reach out with the other hand just came from church after living in this country for the last six years you figure it out am exhausted on nov 27 2022 08 07 am pst jack tomkovick life death pain forgiveness rhyme,"you reach out
the hand is ignored
you reach out
the hand is slapped

you reach out
the hand is spit upon
you reach out
the hand is scratched

you reach out
the hand is bitten and bloodied
you reach out
the hand is hit with a crowbar

you reach out
the hand is broken
you reach out
the fingers are shredded

you reach out
the fingers are dislocated
you reach out
the hand heals

you reach out
the hand is cut off
blood spurting
from the stump

you reach out
with the
other
hand.

just came from church after living in this country for the last six years. you figure it out. I'm exhausted. ©  on Nov 27 2022 08:07 AM PST, jack tomkovick    life  • death  • pain  • forgiveness  • rhyme     "
21,Whimsy ,on the floor of the store you could see from the door lay box of unusual things everything and anything rhymed for dime diamond rings and fairy wings of course if you wished hard enough and all sorts of stuff stuffed in that box by the wall dragons and dinosaurs some big and some small rocket ships and racing cars river smoothed rocks and pirate gold bars on the floor of the store you could see from the door waiting just waiting for you to walk in we all knew that store growing up it had everything enjoy on nov 26 2022 07 28 am pst jack tomkovick life magic mystery fun,"on the floor of the store
you could see from the door
lay a box of unusual things
everything and anything

rhymed for a dime
diamond rings
and fairy wings of course
if you wished hard enough

and all sorts of stuff
stuffed in that box by the wall
dragons and dinosaurs
some big and some small

rocket ships
and racing cars
river smoothed rocks
and pirate gold bars

on the floor of the store
you could see from the door
waiting, just waiting
for you to walk in.
we all knew that store growing up. it had Everything! enjoy. ©  on Nov 26 2022 07:28 AM PST, jack tomkovick    life  • magic  • mystery  • fun    "
22,Five a.m. Musings,grass grows flowers bloom and birds sing squirrels scamper and deer nibble azaleas like kibble birds grow and flowers cheep sun rises and earthworms sleep as birds bloom and flowers buzz grass sings and grubs have fuzz as deer sing and birds bloom squirrels scamper around the moon dance with you to clare de lune we waltz around the darkened room and drink champagne while fireworks boom do not know why you picked me sweets just never let me end the treats lobster bisque and jazzy beats just bit of pre dawn fun enjoy on nov 24 2022 04 25 pm pst jack tomkovick life love nature fun,"grass grows 
flowers bloom
and birds sing

squirrels scamper
and deer nibble
azaleas like kibble

birds grow
and flowers cheep
sun rises and earthworms sleep

as birds bloom
and flowers buzz
grass sings
and grubs have fuzz

as deer sing
and birds bloom
squirrels scamper
around the moon

I dance with you
to Clare de lune
we waltz around
the darkened room

and drink champagne
while fireworks boom
don't know why you
picked me sweets

just never let me
end the treats
lobster bisque
and jazzy beats.

just a bit of pre dawn fun. enjoy. ©  on Nov 24 2022 04:25 PM PST, jack tomkovick    life  • love  • nature  • fun    "
23,Doing Eighty,the thing about being seventy plus is that suddenly it hits you like hammer to the head whoa might not live forever like one of those signs on the interstate when you are doing eighty lane closes in 500 feet like boom do not have 500 feet you rush around like an aging chicken or turkey without head writing bucket lists and injuring yourself trying to do all those adventures you should have done twenty or thirty years past do not be like me slow down before you crash into yourself just small aging poem here on turkey day be kind be safe tell those you love that you love them seriously if not now when peace and joy on nov 24 2022 07 10 am pst jack tomkovick life death aging hope,"the thing about
being seventy plus
is that suddenly
it hits you

like a hammer to the head
whoa!
I might not 
live forever

like one of those signs
on the Interstate
when you're doing eighty
LANE CLOSES IN 500 Feet!

like boom,
I don't
HAVE
500 feet!

you rush around
like an aging chicken
or turkey without a head
writing bucket lists

and injuring yourself
trying to do all those
adventures you should
have done twenty

or thirty years past
don't be like me
slow down before
you crash into yourself.
just a small aging poem here on Turkey day. be kind, be safe, tell those you love that you Love them! seriously. if not now, when? peace and joy! ©  on Nov 24 2022 07:10 AM PST, jack tomkovick    life  • death  • aging  • hope    "
24,Word Miser,do not try to overwhelm fortresses with words anymore choose them sparingly with terse distaste an old man parting with twenty he is had tucked away for month silas marner at the dollar store searching the discount drawer aunt edna at the flea market jawboning like an arab camel trader over some used spatula cookie cutter or beegees album do not ask for longer poems and get off my lawn just the ramblings of an old poet ha enjoy on nov 22 2022 07 33 pm pst jack tomkovick life poetry aging,"I don't try to
overwhelm fortresses
with words
anymore

choose them
sparingly
with terse
distaste

an old man
parting with
a twenty he's had
tucked away for a month

Silas Marner
at the Dollar Store
searching the 
discount drawer

Aunt Edna
at the Flea Market
jawboning like an
Arab camel trader

over some used spatula
cookie cutter
or
BeeGees album

don't ask 
for longer poems
and
get off my lawn.just the ramblings of an old poet. ha. enjoy ©  on Nov 22 2022 07:33 PM PST, jack tomkovick    life  • poetry  • aging    "
25,Glue,love is the glue that holds together this world the decorative scissors snipping the ribbon ends to make them pretty the chocolate frosting on creamy vanilla cake the yin yang of personalities the pepper in the sweet jelly you would never think work but does the salt in the candy bar that piques the taste buds just so the peanut butter and banana combo that elvis loved the gentle waves crashing on that sandy beach somewhere shrimp boils crab claws and hush puppies by the score with pale ale once more you and walking the shore small love poem peace on nov 22 2022 05 08 pm pst jack tomkovick life love scissors candy,"Love is the glue
that holds together
this world

the decorative scissors
snipping the ribbon ends
to make them pretty

the chocolate frosting
on creamy vanilla cake
the yin yang of personalities

the pepper in the 
sweet jelly you'd never 
think'd work but does

the salt in the candy bar
that piques the taste buds
just so

the peanut butter
and banana combo
that Elvis loved 

the gentle waves
crashing on that 
sandy beach somewhere.

shrimp boils
crab claws
and hush puppies

by the score
with pale ale once more
you and I walking the shore.a small love poem. peace. ©  on Nov 22 2022 05:08 PM PST, jack tomkovick    life  • love  • scissors  • candy    "
26,Sweets,snickers bars in heaven chocolate peanut butter ice cream pecan pie with carmel chips and scoop of butter pecan ice cream on top like snow on the winter mountain blueberry peach pie with foothills of whipped cream buttermilk waffles and pancakes with real maple syrup oozing like sap from the tree chocolate fudge cake with sugary cream cheese frosting brownies with inch thick icing snickers bars in heaven if not it is looking like pepperoni pizza in hell another food poem should make you hungry peace on oct 16 2022 11 47 am pst jack tomkovick life love food sweets heaven hell,"Snickers Bars
in heaven?
chocolate peanut butter
ice cream

pecan pie with carmel chips
and a scoop of 
butter pecan
ice cream on top

like snow on the
winter mountain
blueberry peach pie
with foothills of whipped cream

buttermilk waffles
and pancakes
with real maple syrup
oozing like sap from the tree

chocolate fudge cake
with sugary cream cheese frosting
brownies with 
inch thick icing

Snickers Bars
in heaven?
if not it's looking like
pepperoni pizza in hell.

another Food poem. should make you hungry. peace ©  on Oct 16 2022 11:47 AM PST, jack tomkovick    life  • love  • food  • sweets  • heaven  • hell    "
27,Blue Danube,slow dancing in drowning ballroom the band playing an encore as the titanic sinks couples sashay wrapped in memory dresses awhirl and tuxes flapping like penguins blue danube waltz if remember noting water music the natural selection just few lines about not recognizing the danger until its too late climate change anyone peace on oct 15 2022 07 59 am pst jack tomkovick life death disaster,"slow dancing
in a drowning ballroom

the band playing an encore
as the Titanic sinks

couples sashay
wrapped in memory

dresses awhirl and tuxes
flapping like penguins

Blue Danube, a waltz
if I remember,

noting water music
the natural selection.

just a few lines about not recognizing the danger until its too late. Climate Change anyone? peace ©  on Oct 15 2022 07:59 AM PST, jack tomkovick    life  • death  • disaster    "
28,Jamie Guttenberg,has beyond scum sucking butt headed tacky mocking stale coup staging outweighed the softening shooter kid in the cookie jar firing at fish in barrel flesh and bone alive with dead targets death penalty no life in prison without parole tiny dancer gymnast jouster inner flame burned so brightly in bonfire sparking drawing all to the warmth and joy she lived daily we roasted marshmellows toasted jamie with hot chocolate sang and danced till the sun came up combination of courtspeak and poetspeak hope you enjoy jamie of course was killed in the parkland fla mass shooting in 2017 her father fred is now gun control activist peace on oct 13 2022 12 16 pm pst jack tomkovick life death justice,"""has. . .
 beyond a. . .""
""scum sucking, butt headed
tacky, mocking""

""stale coup staging
outweighed the
softening, shooter a
kid in the cookie jar""

firing at fish
in a barrel
flesh and bone
alive with dead targets

death penalty no
life in prison
without
parole

tiny dancer
gymnast jouster
inner flame
burned so brightly

in a bonfire sparking
drawing all
to the warmth
and joy she lived daily

we roasted marshmellows
toasted Jamie with
hot chocolate, sang
and danced till the sun came up.a combination of courtspeak and poetspeak. hope you enjoy. Jamie of course was killed in the Parkland, Fla. mass shooting in 2017. her father Fred is now a gun control activist. peace ©  on Oct 13 2022 12:16 PM PST, jack tomkovick    life  • death  • justice    "
29,"Notice, Listen, Forgive",caress the craft of those tossing alms to the poor without shouting as if cradling week old child listen to the inner voice that speaks hug neighbor as yourself and family say rosaries for all those that stung you beat you with fists verbs and sticks for they too hit and beaten grasped no greener path taken or not no yellow bricks for them or even frost lines only no no no in darkened corners hiding from monsters how many once mores do we say ok seventy seven to begin did not say it is the straight mowed wood crawling on rocks and broken glass cuts less and trodding hundred miles in mocassins molded for feet not bearing frost bitten toes pains like gunshot but is asked small poem based on sermon by my priest father tim franciscan enjoy on oct 11 2022 07 24 am pst jack tomkovick life love forgiveness spirituality peace,"caress the craft
of those tossing alms
to the poor 
without shouting

as if cradling
a 
week old
child

listen to the inner voice
that speaks
hug a neighbor
as yourself and family

say rosaries for all those
that stung you
beat you with
fists verbs and sticks

for they too
hit and beaten
grasped
no greener path

taken or not
no yellow bricks
for them 
or even

Frost lines, only
""no no no' in
darkened corners
hiding from monsters

how many once mores
do we say ok?
seventy seven
to begin

didn't say
it's the straight mowed wood,
crawling on rocks
and broken glass

cuts less
and trodding
a hundred miles
in mocassins 

molded
for feet
not bearing
frost bitten toes

pains like a gunshot
but 
is
asked.
a small poem based on a sermon by my priest, Father Tim, a Franciscan. enjoy. ©  on Oct 11 2022 07:24 AM PST, jack tomkovick    life  • love  • forgiveness  • spirituality  • peace     "
30,Interiors,the happiness of my smart dart and other body parts when gazing at you is amazing as roller coaster ride pulse pounding solid as the bite of hand axe into newly cut oak as aromatic as sawing spruce and cedar interiors insides rings in trees are you then the sawmill of my center reaping harvesting crop beyond value who can say no not me marriage is this fabulous marinade of flavors you would not think blend but do it all makes delicious stew of love enjoy on oct 08 2022 12 00 pm pst jack tomkovick life love relationships,"the happiness
of my smart dart
and other
body parts

when gazing at you
is amazing as a
roller coaster ride
pulse pounding

solid as the bite
of a hand axe
into newly
cut oak

as aromatic
as sawing
spruce and
cedar

interiors
insides
rings 
in trees

are you then
the sawmill
of my
center?

reaping
harvesting
a crop 
beyond value

who can
say no?
not me.
marriage is this fabulous marinade of flavors you wouldn't think blend, but do. it all makes a delicious stew of love. enjoy. ©  on Oct 08 2022 12:00 PM PST, jack tomkovick    life  • love  • relationships     "
31,Be Gentle,reading poor poetry is light for the eyes teaches quiet hearing between the lines and biting tongues like and atta girl can also blindside suicide we can save people just with nod gesture liked that line you wrote can save life just by listening to their tales without scolding shouting or berating listen and you might hear jehovah speaking the true gospel like lightning bolts and thunder another anti suicide poem because they are still needed peace and listen on oct 07 2022 04 21 pm pst jack tomkovick life love death suicide help,"reading poor poetry
is light
for the eyes

teaches quiet,
hearing between the lines
and biting tongues

a like and atta girl
can also blindside
a suicide

we can save people
just with a nod
a gesture

a ""liked that line
you wrote""
can save a life

just by
listening
to their tales

without scolding
shouting or
berating

listen and you
might hear
Jehovah speaking

the true gospel
like lightning bolts
and thunder.







another ""anti-suicide"" poem because they are still needed. peace. and listen! ©  on Oct 07 2022 04:21 PM PST, jack tomkovick    life  • love  • death  • suicide  • help    "
32,Princess on the Third Step,you were the dark haired italian girl smiling at me that one semester in the spring when crabgrass grew in the sidewalk cracks as walked by daily on my trip to school or ran if was late the skipping polish boy with wide blue eyes and hair cut so short and glasses you seated on the third step not second or fourth that stuck with me and all these years as write thousand miles away wish on sparking comet would asked name too shy and you princess on the third step who smiled and that made the memory stick like glue on the mind shoe wish wish do would asked you ah youth and choices not taken tell those you love that you love them seriously we do not always get second chance peace on oct 06 2022 05 07 pm pst jack tomkovick life love relationships choices shyness,"you were the
dark haired
Italian girl
smiling at me

that one semester
in the spring
when crabgrass grew
in the sidewalk cracks

as I walked by daily
on my trip to school
or ran 
if I was late

I the skipping Polish boy
with wide blue eyes
and hair cut so short
and glasses

you seated
on the third step
not second or
fourth

that stuck with me
and all these years 
as I write 
a thousand miles away

I wish on a sparking comet
I'd asked a name
too shy 
and you a princess

on the third step
who smiled
and that made
the memory stick

like glue
on the mind's shoe
wish, wish I do
I'd asked you.

ah youth, and choices not taken. tell those you love that you LOVE them! seriously, we don't always get a second chance. peace. ©  on Oct 06 2022 05:07 PM PST, jack tomkovick    life  • love  • relationships  • choices  • shyness    "
33,Love Wizards,harry and hermoine love wizards shooting spells across the room with lips and hips sinking ships boom alaka zoom he zigs she zags wands that twinkle no snits or snags love in blue and periwinkle just little something on wizards and love ha on oct 05 2022 03 14 pm pst jack tomkovick love relationships magic,"Harry and Hermoine
love wizards
shooting spells
across the room

with lips 
and hips
sinking ships
boom alaka zoom

he zigs she zags
wands that twinkle
no snits or snags
love in blue and periwinkle.

just a little something on wizards and love. ha. ©  on Oct 05 2022 03:14 PM PST, jack tomkovick    love  • relationships  • magic    "
