Title,Poem,Poem_for_Human
Nature Dresses For The Holidays,lamplight waves stretch across the river as the snowfall casts its glassy arms across the shimmering river wreaths hung on lampposts exude cheer to passers by as sol bows his head for a moment of pre twilight silence in this idyllic place fireside chats reverberate from among the snow laden rooftops and the soft whispers of falling stars cast their whispers to the early winter winds beneath sunset skies golden light spreads its yellow haze to brighten a lonely snowman s evening even the dog delights in this rockwellian scene of hope at christmastime it is a night of peace for new beginnings yet to come,"
Lamplight waves stretch across the river
as the snowfall casts its glassy arms across
the shimmering river.
Wreaths hung on lampposts exude cheer to passers-by
as Sol bows his head for a moment of pre-twilight
silence in this idyllic place.
Fireside chats reverberate from among the
snow-laden rooftops and the soft whispers of
falling stars cast their whispers to the early
winter winds, beneath sunset skies.
Golden light spreads its' yellow haze to brighten
a lonely snowman's evening; even the dog delights in
this Rockwellian scene of hope at Christmastime.
It's a night of peace for new beginnings
yet to come.
"
Hibiscus Energy,in a secluded land of sacrament she wanders the hibiscus path passive and persuasive energy she never bows to words of wrath,"
In a secluded land of sacrament
she wanders the hibiscus path
passive and persuasive energy
she never bows to words of wrath
"
Zest,a newfound fire burns bright within me that cannot be put out by lifes rain my soul now flies where sadness is unable to follow and cloak me with its pain my spirit defies any chainings treads not unwarily into sorrows cage my mind laughs in the faces of hatred and evil to hear them screaming in a frustrated rage and should darknesses think they own my soul at anytime think its theirs to take how foolish because i live in the providence of the suns dominion into which they will never break these discovered strengths came from on high i am convinced when my hopes had fallen to the floor as i fought my way looking for help found that i had unknowingly stumbled through my guardian angels door now my life no longer walks over me but beside me and not one single day is dull the book of me once empty is now and forever will be full,"
A newfound fire burns bright within me

that cannot be put out by lifes rain

my soul now flies where sadness is unable to follow

and cloak me with its pain

my spirit defies any chainings treads not unwarily into sorrows cage

my mind laughs in the faces of hatred and evil to hear them screaming in a frustrated rage

and should darknesses think they own my soul at anytime think its theirs to take

how foolish because I live in the providence of the suns dominion into which they will never break

these discovered strengths came from on high I'm convinced when my hopes had fallen to the floor

as I fought my way looking for help found that I

had unknowingly  stumbled through my guardian angels door

 

now my life no longer walks over me but beside me and not one single day is dull

the book of me once empty is now and forever will be full
"
A Victorian Saturday Night,we was paid of a saturday night tide us over sunday morning sunday’s dinner still to be bought this saturday evening in november scarves pulled tight against the air damp pea soupers everywhere the market was bright alight with candles gas jets grease lamps the fires of the chestnut roasters amongst the cacaphony of cries traders calling out their wares “ bootiful sea food whatever you like ” butchers in blue aprons dripping with blood illuminated by gas jets barkers bawling outside the circus peelers parading the slums off of oxford street everyone keen to make a penny for porter,"
We was paid of a Saturday night,
Tide us over Sunday morning,
Sunday’s dinner still to be bought
this Saturday evening in November.
Scarves pulled tight against the air
Damp pea-soupers everywhere. 
The market was bright, alight
With candles, gas jets, grease lamps,
The fires of the chestnut roasters
Amongst the cacaphony of cries
Traders calling out their wares:
“ Bootiful sea food whatever you like.”
Butchers in blue aprons dripping
With blood illuminated by gas jets.
Barkers bawling outside the circus.
Peelers parading the slums off of
Oxford street. Everyone keen
To make a penny for porter.
"
The Stream,pit brown eddies like molasses trout their underbellies speckled with mottled brown marks swim inside a subterranean world ceaseless the water runs never the same pattern as in life the moment passes and can never be lived again,"
Pit brown, eddies like molasses

Trout, their underbellies speckled

with mottled brown marks swim

inside a subterranean world

Ceaseless the water runs

Never the same pattern

As in life the moment passes

and can never be lived again.
"
House to House,i want to be grounded like a child rolling down a grassy hill with abandon i remember doing that when mom would pile us in the car take us to a far away park i want to be joyous like the parrots singing their chatter from the high up palm trees i remember feeling that when we would run the neighborhood with flattened cardboard boxes to use as sleds down dirt fields i want to be simple like dreamy days of old when screen doors would slam shut with a whisper as children bounced from house to house i am an old woman now no more rolling down hills no more sledding down mountains but i can still walk the grounds i can still hear the bird song i can still go from house to house hello friend so glad to see you today a simple day a joyous day,"
I want to be grounded

like a child rolling 

down a grassy hill

with abandon.

I remember doing that

when mom would pile us in the car & take us to a far-away park.

I want to be joyous 

like the parrots singing

their chatter from the high-up palm trees.

I remember feeling that 

when we would run the neighborhood

with flattened cardboard boxes to use as sleds down dirt fields.

I want to be simple

like dreamy days of old when screen doors would slam shut with a whisper

as children bounced from house to house.

I am an old woman now,

no more rolling down hills,

no more sledding down mountains,

but I can still walk the grounds,

I can still hear the bird song,

I can still go from house to house--

hello, friend, so glad to see you today,

a simple day,

a joyous day.
"
The Ugly Game,the beautiful game s turned ugly not a pretty sight a thousand jagged stitches scars all left and right a hideous looking monster football only in name a tournament born from corruption greed and shame welcome to qatar but do not make yourself at home we do not believe in gay love no mercy will be shown what kind of place is that a place it is safer to live a lie where your basic human rights they aim to deny every new stadium built cost many a migrant soul state cover ups and lies disguise the real death toll boycott this competition the right and proper thing to do have nothing to do with qatar and the world cup of 2022,"The beautiful game's turned ugly, 
not a pretty sight.
A thousand jagged stitches, scars 
all left and right.
A hideous looking monster, 'football' 
only in name.
A tournament born from corruption, 
greed and shame.

'Welcome to Qatar, but don't make 
yourself at home.
We don't believe in gay love, no mercy 
will be shown'
What kind of place is that, a place it's 
safer to live a lie.
Where your basic human rights, they 
aim to deny.

Every new Stadium built, cost many  a
migrant soul.
State cover ups and lies, disguise the 
real death toll. 
Boycott this competition, the right and
proper thing to do.
Have nothing to do with Qatar and the
World Cup of 2022."
jackrabbit tenets,blood turns bath water into lake water i take my time with a bar of soap god plays with my hair potted plants flatten thirsty tongues chiqueadores god slurs we have had a few drinks my tail looks like the emerald body of a giant snake sure i say try to wash them off and to their credit god does their hand is not the softest washcloth they are all in pairs god says what did this to you my tail constricts its many coils shine under rust a mouth i tell god but that does not matter now can you touch my ears,"
blood turns bath water into lake water.
i take my time with a bar of soap.
god plays with my hair.
potted plants flatten thirsty tongues.
chiqueadores, god slurs.
we’ve had a few drinks.
my tail looks like the emerald body of a giant snake.
sure, i say. try to wash them off.
and to their credit god does.
their hand is not the softest washcloth.
they’re all in pairs, god says. what did this to you?
my tail constricts.
its many coils shine under rust.
a mouth, i tell god.
but that doesn’t matter now. can you touch my ears?
"
Hexagonal Dinner Course,now you can for the third time in 12 300½ years remove stubborn ear wax with your grandmother watching never be fooled by other morons again i can reproduce your long dead grandmother with 30 pounds of monkey tumors pulverized with paul pelosi s hammer 9 fridays after your final birthday with no mega gay questions asked,"Now you can, for the third time in 12,300½ years, remove stubborn
ear-wax with your grandmother watching! Never be fooled by other
morons again! I can reproduce your long-dead grandmother with 30
pounds of monkey tumors, pulverized with Paul Pelosi's hammer, 9
Fridays after your final birthday with no mega-gay questions asked!"
I know where you can hide,do you think of making love or just about using me again would you still leave me willingly dripping like a pig inside a pen would you fill me with your bible after you have thrusted deep against the sides i would let you pound away so hard like we are trying to change the tides i want you to use me like i am nothing because that sort of turns me on i promise i will not tell a soul even after you have gone wrap it good around my lips the way that only i can ride until you shoot it out i will be your number one fan do not you think it is time you took me for another ride i know you like this game and i know where you can hide,"
Do you think of making love
Or just about using me again?
Would you still leave me willingly dripping?
Like a pig inside a pen

Would you fill me with your Bible
after you’ve thrusted deep against the sides
I’d let you pound away so hard
Like we’re trying to change the tides

I want you to use me like I’m nothing
Because that sort of turns me on
I promise I wont tell a soul
Even after you have gone

Wrap it good around my lips
the way that only I can
ride until you shoot it out
I’ll be your number one fan

Don’t you think it’s time
You took me for another ride
I know you like this game
And I know where you can hide
"
